date,open,close,high,low,volume,adjusted_close
2023-02-28,249.07,249.42,251.49,248.73,22491000,245.5152
2023-03-01,250.76,246.27,250.93,245.79,27565300,242.4145
2023-03-02,246.55,251.11,251.4,245.61,24808200,247.1787
2023-03-03,252.19,255.29,255.62,251.39,30760100,251.2933
2023-03-06,256.43,256.87,260.12,255.98,24109800,252.8486
2023-03-07,256.3,254.15,257.69,253.39,21473200,250.1711
2023-03-08,254.04,253.7,254.54,250.81,17340200,249.7282
2023-03-09,255.82,252.32,259.56,251.58,26653400,248.3698
2023-03-10,251.08,248.59,252.79,247.6,28333900,244.6982
2023-03-13,247.4,253.92,257.91,245.73,33339700,249.9447
2023-03-14,256.75,260.79,261.07,255.86,33620300,256.7072
2023-03-15,259.98,265.44,266.48,259.21,46028000,261.2844
2023-03-16,265.21,276.2,276.56,263.28,54768800,271.8759
2023-03-17,278.26,279.43,283.33,276.32,69527400,275.0554
2023-03-20,276.98,272.23,277.48,269.85,43466600,267.9681
2023-03-21,274.88,273.78,275.0,269.52,34558700,269.4938
2023-03-22,273.4,272.29,281.04,272.18,34873300,268.0271
2023-03-23,277.94,277.66,281.06,275.2,36610900,273.3131
2023-03-24,277.24,280.57,280.63,275.28,28172000,276.1775
2023-03-27,280.5,276.38,281.46,275.52,26840200,272.0531
2023-03-28,275.79,275.23,276.14,272.05,21878600,270.9211
2023-03-29,278.96,280.51,281.14,278.41,25087000,276.1185
2023-03-30,284.23,284.05,284.46,281.48,25053400,279.603
2023-03-31,283.73,288.3,289.27,283.0,32766000,283.7865
2023-04-03,286.52,287.23,288.27,283.95,24883300,282.7333
2023-04-04,287.23,287.18,290.45,285.67,25824300,282.684
2023-04-05,285.85,284.34,287.15,282.92,22064800,279.8885
2023-04-06,283.21,291.6,292.08,282.03,29770300,287.0348
2023-04-10,289.21,289.39,289.6,284.71,23103000,284.8594
